"Typestatus","Count"
"holotype of <a href=""http://arctos.database.museum/name/etheostoma zonale"">etheostoma zonale</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>; holotype of <a href=""http://arctos.database.museum/name/etheostoma zonale"">etheostoma zonale</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/haplochromis vanheusdeni"">haplochromis vanheusdeni</a>, page 137 in <a href=""http://arctos.database.museum/publication/10006849"">schedel et al. 2014</a>",1
"holotype of <a href=""http://arctos.database.museum/name/harpe naevius"">harpe naevius</a>, page 630 in <a href=""http://arctos.database.museum/publication/10006814"">eigenmann 1894</a>",1
"holotype of <a href=""http://arctos.database.museum/name/hemigrammocharax rubensteini"">hemigrammocharax rubensteini</a>, page 31 in <a href=""http://arctos.database.museum/publication/10006798"">jerep and vari 2013</a>; voucher of <a href=""http://arctos.database.museum/name/hemigrammocharax rubensteini"">hemigrammocharax rubensteini</a>, page 368 in <a href=""http://arctos.database.museum/publication/10006850"">jerep et al. 2014</a>",1
"holotype of <a href=""http://arctos.database.museum/name/hylopanchax paucisquamatus"">hylopanchax paucisquamatus</a>, page 580 in <a href=""http://arctos.database.museum/publication/10007014"">sonnenberg et al. 2014</a>",1
"holotype of <a href=""http://arctos.database.museum/name/hypopsis"">hypopsis sp.</a> sp. in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/ichthyomyzon hubbsi"">ichthyomyzon hubbsi</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/microsynodontis armatus"">microsynodontis armatus</a>, page 10 in <a href=""http://arctos.database.museum/publication/10006896"">ng 2004</a>",1
"holotype of <a href=""http://arctos.database.museum/name/microsynodontis emarginatus"">microsynodontis emarginatus</a>, page 15 in <a href=""http://arctos.database.museum/publication/10006896"">ng 2004</a>",1
"holotype of <a href=""http://arctos.database.museum/name/microsynodontis hirsutus"">microsynodontis hirsutus</a>, page 20 in <a href=""http://arctos.database.museum/publication/10006896"">ng 2004</a>",1
"holotype of <a href=""http://arctos.database.museum/name/microsynodontis laevigatus"">microsynodontis laevigatus</a>, page 25 in <a href=""http://arctos.database.museum/publication/10006896"">ng 2004</a>",1
"holotype of <a href=""http://arctos.database.museum/name/microsynodontis nasutus"">microsynodontis nasutus</a>, page 32 in <a href=""http://arctos.database.museum/publication/10006896"">ng 2004</a>",1
"holotype of <a href=""http://arctos.database.museum/name/microsynodontis vigilis"">microsynodontis vigilis</a>, page 39 in <a href=""http://arctos.database.museum/publication/10006896"">ng 2004</a>",1
"holotype of <a href=""http://arctos.database.museum/name/moxostoma grammarion"">moxostoma grammarion</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/moxostoma lachneri"">moxostoma lachneri</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/mylesinus macropterus"">mylesinus macropterus</a>, page 212 in <a href=""http://arctos.database.museum/publication/10006820"">ulrey 1894</a>",1
"holotype of <a href=""http://arctos.database.museum/name/nannocharax hastatus"">nannocharax hastatus</a>, page 45 in <a href=""http://arctos.database.museum/publication/10006912"">jerep and vari 2014</a>; voucher of hemigrammocharax hastatus, page 367 in <a href=""http://arctos.database.museum/publication/10006850"">jerep et al. 2014</a>",1
"holotype of <a href=""http://arctos.database.museum/name/notropis asperifrons"">notropis asperifrons</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/notropis atrapiculus"">notropis atrapiculus</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/notropis baileyi"">notropis baileyi</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/notropis bellus alegnotus"">notropis bellus alegnotus</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/notropis hypsilepis"">notropis hypsilepis</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/notropis suttkusi"">notropis suttkusi</a> in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/notropis"">notropis sp.</a> sp. in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/paramormyrops"">paramormyrops sp. bennetti</a> sp. bennetti in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
"holotype of <a href=""http://arctos.database.museum/name/paramormyrops"">paramormyrops sp. magnostipes</a> sp. magnostipes in <a href=""http://arctos.database.museum/publication/10006803"">cumv fish type citations</a>",1
