"dwc.preparations","freq"
"70% EtOH - 27; C&S - 2",1
"70% EtOH - 27; C&S - 7",1
"70% EtOH - 273",1
"70% EtOH - 276",1
"70% EtOH - 277",1
"70% EtOH - 28; 95% EtOH (tiss) - 28",1
"70% EtOH - 28; frozen (spec) - 35",1
"70% EtOH - 280",1
"70% EtOH - 281",1
"70% EtOH - 282",1
"70% EtOH - 283",1
"70% EtOH - 286",1
"70% EtOH - 288",1
"70% EtOH - 289; C&S - 20",1
"70% EtOH - 29; 95% EtOH (spec) - 2",1
"70% EtOH - 29; C&S - 2",1
"70% EtOH - 292",1
"70% EtOH - 294",1
"70% EtOH - 297",1
"70% EtOH - 298",1
"70% EtOH - 299",1
"70% EtOH - 3; 95% EtOH (spec) - 5",1
"70% EtOH - 3; 95% EtOH (spec) - 6",1
"70% EtOH - 3; 95% EtOH (spec) - 8",1
"70% EtOH - 3; 95% EtOH (tiss) - 1; 95% EtOH (spec) - 2",1
"70% EtOH - 3; 95% EtOH (tiss) - 5",1
"70% EtOH - 3; frozen (spec) - 1",1
"70% EtOH - 3; frozen (spec) - 18",1
"70% EtOH - 3; frozen (spec) - 2",1
"70% EtOH - 3; frozen (spec) - 30",1
"70% EtOH - 3; frozen (spec) - 4",1
"70% EtOH - 3; frozen (spec) - 5",1
"70% EtOH - 3; frozen (tiss) - 1",1
"70% EtOH - 3; frozen (tiss) - 2",1
"70% EtOH - 3; frozen to 95% EtOH - 19",1
"70% EtOH - 3; frozen to 95% EtOH - 23",1
"70% EtOH - 3; Skel - 4",1
"70% EtOH - 30; 95% EtOH (spec) - 5",1
"70% EtOH - 30; C&S - 4",1
"70% EtOH - 30; frozen to 95% EtOH - 20",1
"70% EtOH - 302",1
"70% EtOH - 303",1
"70% EtOH - 306",1
"70% EtOH - 307",1
"70% EtOH - 309",1
"70% EtOH - 31; 95% EtOH (spec) - 38",1
"70% EtOH - 31; C&S - 2",1
"70% EtOH - 31; C&S - 5",1
"70% EtOH - 31; C&S - 8",1
"70% EtOH - 310",1
"70% EtOH - 311",1
"70% EtOH - 318",1
"70% EtOH - 319",1
"70% EtOH - 32; C&S - 5",1
"70% EtOH - 321",1
"70% EtOH - 321; C&S - 2",1
"70% EtOH - 324",1
"70% EtOH - 325",1
"70% EtOH - 326",1
"70% EtOH - 33; 95% EtOH (spec) - 29",1
"70% EtOH - 33; C&S - 2",1
"70% EtOH - 332",1
"70% EtOH - 333",1
"70% EtOH - 3333",1
